,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05
0,"{'name': 'Zeppelin', 'address': '1445 S Meadows Pkwy', 'time': '08:00AM'}","{'name': 'Naan & Kabab', 'address': '2740 S Virginia St, Reno', 'time': '08:00AM'}","{'name': 'Soochow', 'address': '656 E Prater Way, Sparks', 'time': '08:00AM'}","{'name': 'Silver Chopsticks | Chinese & Phở Restaurant', 'address': '10580 N McCarran Blvd, Reno', 'time': '08:00AM'}","{'name': 'La Fonda Méxican Restaurant', 'address': '4385 Neil Rd #109, Reno', 'time': '08:00AM'}"
1,"{'name': 'Prost Reno Biergarten', 'address': '180 W Peckham Ln, Ste 1070', 'time': '01:00PM'}","{'name': 'Asian Paradise', 'address': '1131 Steamboat Pkwy #820, Reno', 'time': '01:00PM'}","{'name': 'Jazmine', 'address': '9333 Double R Blvd #1000, Reno', 'time': '01:00PM'}","{'name': 'CJ Palace', 'address': '129 Los Altos Pkwy #119, Sparks', 'time': '01:00PM'}","{'name': 'Fiesta Méxicana', 'address': '10555 Stead Blvd Suite 12, Reno', 'time': '01:00PM'}"
2,"{'name': ""Suri's"", 'address': '80 Giroux St, Reno', 'time': '08:00PM'}","{'name': ""Kwok's Bistro"", 'address': '275 West St, Reno', 'time': '08:00PM'}","{'name': 'Rim Asian Bistro', 'address': '2500 E 2nd St, Reno', 'time': '08:00PM'}","{'name': 'Sabor Latin Cuisine', 'address': '585 E Moana Ln, Reno', 'time': '08:00PM'}","{'name': 'Las Panchitas', 'address': '8345 N Lake Blvd, Kings Beach', 'time': '08:00PM'}"
3,"{'name': 'Reno', 'address': 'Reno', 'time': '10:30AM'}","{'name': 'Circus Circus Reno', 'address': '500 North Sierra Street, Reno', 'time': '10:30AM'}","{'name': 'Holiday Inn Express & Suites Reno Airport, an IHG Hotel', 'address': '2375 Market Street, Reno', 'time': '10:30AM'}","{'name': 'Legacy Vacation Resort Reno', 'address': '140 Court Street, Reno', 'time': '10:30AM'}","{'name': 'Comfort Inn & Suites Airport Convention Center', 'address': '1250 East Plumb Lane, Reno', 'time': '10:30AM'}"
4,"{'name': 'Silver Legacy Resort Casino', 'address': '407 North Virginia Street, Reno', 'time': '03:00PM'}","{'name': 'J Resort', 'address': '345 North Arlington Avenue, Reno', 'time': '03:00PM'}","{'name': 'Peppermill Resort Spa Casino', 'address': '2707 South Virginia Street, Reno', 'time': '03:00PM'}","{'name': 'La Quinta Inn by Wyndham Reno', 'address': '4001 Market Street, Reno', 'time': '03:00PM'}","{'name': 'Airport Plaza Hotel', 'address': '1981 Terminal Way, Reno', 'time': '03:00PM'}"
5,"{'name': 'Eldorado Resort Casino', 'address': '345 North Virginia Street, Reno', 'time': '05:30PM'}","{'name': 'Grand Sierra Resort', 'address': '2500 East 2nd Street, Reno', 'time': '05:30PM'}","{'name': 'Ramada by Wyndham Reno Hotel & Casino', 'address': '1000 East 6th Street, Reno', 'time': '05:30PM'}","{'name': 'Motel 6 Reno – Livestock NV', 'address': '866 North Wells Avenue, Reno', 'time': '05:30PM'}","{'name': 'Patagonia Outlet', 'address': '130 South Center Street, Reno', 'time': '05:30PM'}"
